dagr,7,7,0,875.54
brock,2,0,2,231.62
kern,8,3,5,786.0199999999999
klo,1,0,1,83.82
joe,7,4,3,795.36
mcgunn,10,5,5,1042.8799999999999
jared,1,0,1,107.4
jhigh,8,3,5,806.5799999999999
tim,0,0,0,0
woody,4,3,1,415.97999999999996
jerms,1,0,1,69.48
mike,6,3,3,553.38
kjemp,5,1,4,426.38
flack,5,4,1,547.4399999999999
trox,5,2,3,498.1
